numer_sta;date;pmer;ff;t;u;vv;ww;pres;niv_bar;tn24;tx24;ht_neige;rr24
07005;20230401000000;99830;11.500000;282.550000;95;4300;61;98970;mq;mq;mq;0.000000;12.500000
07015;20230401000000;99580;9.100000;282.650000;95;5980;61;99020;mq;mq;mq;0.000000;9.400000
07020;20230401000000;100430;12.500000;283.850000;87;8000;2;100320;mq;mq;mq;mq;2.800000
07027;20230401000000;100450;11.300000;283.250000;86;10110;0;99650;mq;mq;mq;0.000000;2.000000
07037;20230401000000;100170;9.300000;282.550000;86;6340;61;98300;mq;mq;mq;0.000000;mq
07072;20230401000000;100160;8.600000;282.750000;84;20000;0;99020;mq;mq;mq;0.000000;4.800000
07110;20230401000000;101100;5.700000;282.750000;90;14770;0;99920;mq;mq;mq;0.000000;6.900000
07117;20230401000000;100850;9.700000;283.150000;90;mq;mq;100150;mq;mq;mq;mq;3.200000
07130;20230401000000;100990;5.800000;282.950000;84;36170;0;100540;mq;mq;mq;0.000000;4.000000
07139;20230401000000;100700;6.900000;282.650000;87;18510;0;98960;mq;mq;mq;0.000000;12.200000
07149;20230401000000;100410;7.100000;283.150000;84;20000;0;99330;mq;mq;mq;0.000000;2.400000
07168;20230401000000;100540;11.000000;282.650000;81;20000;0;99120;mq;mq;mq;0.000000;7.700000
07181;20230401000000;100460;9.800000;281.550000;85;55440;0;96320;mq;mq;mq;mq;9.200000
07190;20230401000000;100510;6.800000;283.550000;73;60000;0;98710;mq;mq;mq;0.000000;8.400000
07207;20230401000000;101260;11.800000;284.650000;86;10000;25;100740;mq;mq;mq;mq;2.600000
07222;20230401000000;101200;8.300000;284.350000;85;12260;0;100890;mq;mq;mq;0.000000;4.000000
07240;20230401000000;100960;6.300000;283.450000;85;17470;0;99610;mq;mq;mq;0.000000;6.400000
07255;20230401000000;101050;7.900000;283.450000;78;20000;0;99060;mq;mq;mq;0.000000;8.100000
07280;20230401000000;100950;5.000000;282.150000;84;19730;60;98310;mq;mq;mq;0.000000;3.400000
07299;20230401000000;100840;1.300000;280.450000;91;49000;0;97570;mq;mq;mq;0.000000;5.200000
07314;20230401000000;101500;11.100000;285.150000;86;12000;1;101220;mq;mq;mq;mq;0.200000
07335;20230401000000;101290;7.500000;282.850000;89;19530;0;99840;mq;mq;mq;0.000000;8.100000
07434;20230401000000;101460;6.000000;281.450000;89;8180;0;96660;mq;mq;mq;0.000000;3.000000
07460;20230401000000;101350;4.700000;282.450000;68;59690;0;97400;mq;mq;mq;0.000000;5.800000
07471;20230401000000;mq;6.100000;278.050000;82;19920;60;91740;92500;mq;mq;0.000000;5.000000
07481;20230401000000;101420;2.200000;282.950000;72;60000;21;98540;mq;mq;mq;0.000000;1.400000
07510;20230401000000;101830;6.700000;285.050000;75;13090;0;101250;mq;mq;mq;0.000000;1.000000
07535;20230401000000;101770;3.500000;282.950000;82;13880;0;98640;mq;mq;mq;0.000000;2.200000
07558;20230401000000;101680;9.600000;279.350000;86;20000;0;93290;mq;mq;mq;0.000000;3.400000
07577;20230401000000;101450;1.900000;282.650000;68;20000;0;100550;mq;mq;mq;0.000000;0.000000
07591;20230401000000;mq;2.700000;277.150000;86;mq;mq;91190;mq;276.950000;287.850000;0.000000;5.800000
07607;20230401000000;102040;4.100000;284.550000;82;13370;0;101320;mq;mq;mq;0.000000;0.200000
07621;20230401000000;102130;4.300000;283.950000;67;32590;0;97790;mq;mq;mq;0.000000;0.200000
07627;20230401000000;102100;2.400000;284.150000;61;20000;0;97170;mq;mq;mq;0.000000;2.200000
07630;20230401000000;102000;5.800000;284.650000;74;18210;0;100190;mq;mq;mq;0.000000;-0.100000
07643;20230401000000;101600;6.200000;286.550000;51;45000;0;101500;mq;mq;mq;0.000000;mq
07650;20230401000000;101520;6.000000;285.950000;64;47030;0;101130;mq;mq;mq;0.000000;0.000000
07661;20230401000000;mq;14.300000;mq;mq;mq;0;mq;mq;mq;mq;mq;mq
07690;20230401000000;100770;9.800000;289.450000;35;40000;2;100460;mq;mq;mq;0.000000;0.000000
07747;20230401000000;101770;6.200000;288.150000;44;60000;0;101240;mq;mq;mq;0.000000;0.000000
07761;20230401000000;101310;4.000000;288.350000;64;19800;0;101200;mq;mq;mq;0.000000;0.000000
07790;20230401000000;100840;10.600000;291.550000;23;60000;0;100700;mq;mq;mq;mq;-0.100000
61968;20230401000000;100880;0.900000;299.150000;94;mq;mq;100830;mq;298.450000;304.350000;mq;10.000000
61972;20230401000000;101310;mq;298.650000;76;mq;mq;101240;mq;296.950000;301.750000;mq;0.000000
61976;20230401000000;101030;6.100000;300.850000;84;mq;mq;100940;mq;299.050000;302.650000;mq;1.600000
61980;20230401000000;101300;4.900000;298.750000;79;60000;0;101150;mq;mq;mq;mq;0.400000
61996;20230401000000;102310;2.800000;290.350000;72;mq;mq;101960;mq;289.350000;294.450000;mq;0.000000
61997;20230401000000;98580;11.800000;278.550000;80;mq;mq;96840;mq;276.950000;283.750000;mq;23.200000
61998;20230401000000;100260;5.100000;279.450000;67;mq;mq;99890;mq;mq;mq;mq;mq
67005;20230401000000;100930;5.200000;300.850000;87;8130;0;100850;mq;mq;mq;mq;1.000000
71805;20230401000000;101880;1.100000;272.850000;72;19320;0;101790;mq;mq;mq;mq;-0.100000
78890;20230401000000;101800;10.500000;298.750000;78;mq;mq;101480;mq;297.650000;302.450000;mq;0.000000
78894;20230401000000;101930;8.900000;298.250000;76;mq;mq;101410;mq;296.750000;302.250000;mq;0.200000
78897;20230401000000;101850;2.900000;298.050000;75;41640;mq;101760;mq;mq;mq;mq;0.000000
78922;20230401000000;101800;8.900000;298.950000;75;mq;mq;101350;mq;297.450000;301.350000;mq;0.600000
78925;20230401000000;101770;5.300000;298.750000;71;60000;0;101680;mq;mq;mq;mq;mq
81401;20230401000000;101290;1.500000;296.450000;96;mq;mq;101230;mq;294.750000;306.050000;mq;1.000000
81405;20230401000000;101300;1.600000;297.850000;90;22650;0;101210;mq;mq;mq;mq;1.200000
81408;20230401000000;101260;0.000000;298.150000;87;mq;mq;101180;mq;295.750000;305.150000;mq;0.600000
81415;20230401000000;mq;0.000000;297.650000;96;mq;mq;mq;mq;296.850000;305.850000;mq;2.000000
89642;20230401000000;99960;9.800000;270.650000;97;20000;2;99420;mq;mq;mq;mq;mq
07005;20230401030000;100010;11.100000;282.750000;95;15060;58;99150;mq;mq;mq;0.000000;12.500000
07015;20230401030000;99760;6.700000;282.650000;93;31500;0;99200;mq;mq;mq;0.000000;9.000000
07020;20230401030000;100510;10.600000;283.750000;89;8000;2;100400;mq;mq;mq;mq;2.400000
07027;20230401030000;100570;9.500000;283.150000;84;38140;0;99760;mq;mq;mq;0.000000;2.000000
07037;20230401030000;100330;8.900000;282.150000;92;8690;61;98450;mq;mq;mq;0.000000;mq
