numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,Column1
7005,2.02E+13,99830,130,1,270,11.5,282.55,281.75,95,4300,61,mq,mq,mq,mq,mq,mq,mq,mq,98970,mq,mq,-330,mq,mq,mq,mq,281.95,mq,mq,18.6,21.9,-10,2,0,mq,mq,1.7,3.9,6.1,7.9,12.5,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7015,2.02E+13,99580,110,2,240,9.1,282.65,281.85,95,5980,61,mq,mq,100,8,250,mq,mq,mq,99020,mq,mq,-760,mq,mq,mq,mq,282.55,mq,mq,12.2,17.2,-10,2,0,mq,mq,1,2.8,3,5.8,9.4,mq,mq,mq,mq,8,mq,270,mq,9,mq,mq,mq,mq,mq,mq,mq,
7020,2.02E+13,100430,230,1,270,12.5,283.85,281.75,87,8000,2,2,mq,100,8,450,37,mq,mq,100320,mq,mq,960,mq,mq,mq,mq,mq,mq,mq,17.8,17.8,-10,mq,mq,mq,mq,0,0,0,-0.1,2.8,mq,mq,mq,mq,8,7,500,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7027,2.02E+13,100450,140,3,270,11.3,283.25,281.05,86,10110,0,mq,mq,100,8,450,mq,mq,mq,99650,mq,mq,510,mq,mq,mq,mq,283.15,mq,mq,16.3,18.4,-10,1,0,mq,mq,0.2,0.2,1.4,1.4,2,mq,mq,mq,mq,7,mq,540,8,mq,750,mq,mq,mq,mq,mq,mq,
7037,2.02E+13,100170,50,3,260,9.3,282.55,280.35,86,6340,61,mq,mq,100,8,450,mq,mq,mq,98300,mq,mq,-160,mq,mq,mq,mq,282.15,mq,mq,18,18.1,-10,mq,0,mq,mq,0.4,0.8,0.8,0.8,mq,mq,mq,mq,mq,8,mq,420,mq,8,mq,mq,mq,mq,mq,mq,mq,
7072,2.02E+13,100160,50,1,230,8.6,282.75,280.15,84,20000,0,mq,mq,90,6,450,mq,mq,mq,99020,mq,mq,-650,mq,mq,mq,mq,281.35,mq,mq,13.2,13.5,-10,2,0,mq,mq,-0.1,0.4,0.8,1,4.8,mq,mq,mq,mq,1,mq,570,3,mq,1020,6,mq,1410,mq,mq,mq,
7110,2.02E+13,101100,130,2,280,5.7,282.75,281.15,90,14770,0,mq,mq,100,8,450,mq,mq,mq,99920,mq,mq,1320,mq,mq,mq,mq,281.35,mq,mq,9.6,12.5,-10,1,0,mq,mq,0.8,2.4,2.6,2.8,6.9,mq,mq,mq,mq,7,mq,540,7,mq,720,8,mq,1050,mq,mq,mq,
7117,2.02E+13,100850,160,1,250,9.7,283.15,281.55,90,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100150,mq,mq,1300,mq,mq,mq,mq,mq,mq,mq,16.5,18.6,-10,mq,mq,mq,mq,0,0,0,2.6,3.2,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7130,2.02E+13,100990,160,2,250,5.8,282.95,280.35,84,36170,0,mq,mq,mq,2,800,mq,mq,mq,100540,mq,mq,720,mq,mq,mq,mq,283.15,mq,mq,10.1,10.1,-10,0,0,mq,mq,0,-0.1,-0.1,1.2,4,mq,mq,mq,mq,1,mq,780,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7139,2.02E+13,100700,140,3,240,6.9,282.65,280.55,87,18510,0,mq,mq,100,8,450,mq,mq,mq,98960,mq,mq,330,mq,mq,mq,mq,283.25,mq,mq,12.7,12.7,-10,2,0,mq,mq,-0.1,0.4,1.4,6.4,12.2,mq,mq,mq,mq,7,mq,570,8,mq,780,mq,mq,mq,mq,mq,mq,
